1985,Enron is formed following a merger between Houston Natural Gas Co. and InterNorth Inc.
1995,"Enron is named ""America's Most Innovative Company"" by Fortune. The firm goes on to win this award for six consecutive years."
1998,"Andrew Fastow is promoted to CFO, he ultimately spearheads the creation of a network of companies that hide Enron's losses."
2000,Enron's shares skyrocket to an all-time high of $90.56.
"Feb. 12, 2001","Jeffrey Skilling replaces Kenneth Lay as CEO. However, Lay remains a member of the board of directors."
"Aug. 14, 2001","Skilling resigns suddenly, and Lay takes over once again. Enron's broadband division also reports a massive $137 million loss. Analysts became weary of the company and subsequently drop their ratings for Enron's stock. In turn, the company's share price dives to $39.95, a 52-week low."
"Oct. 12, 2001","Arthur Andersen legal counsel tells auditors to destroy all Enron files, except Enron's most basic documents."
"Oct. 16, 2001",Enron reports a $618 million loss and $1.2 billion value write off. Enron's stock drops further to $38.84.
"Oct. 22, 2001","Enron announces it's facing a SEC probe. Shares fall to around $20.75 that day, following the announcement."
"Nov. 8, 2001",Enron admits it has been inflating its income by around $586 million since 1997.
"Nov. 29, 2001",Arthur Andersen becomes another casualty of the Enron scandal as the SEC expands its investigation.
"Dec. 2, 2001",Enron files for Chapter 11 bankruptcy. Its stock closes at $0.26
"Jan. 9, 2002",The Justice Department launches a criminal investigation.
"Jan. 15, 2002",Enron is suspended from the NYSE.
15-Jun-02,"Enron's accounting firm, Arthur Andersen is convicted of obstructing justice."
